Item Code,Category,Type,Material,
RCC0914-13 -- Handicrafted Crank Std.,Stand,Regular,Wood,Replace all uncat subtype of stand as REGULAR
JAC0914-09 -- Wooden Craved Box,Home Decor,Box,Wood,
JAC0914-20 -- Bucket Cloth,Home Decor,Objects,Fabric,
PCM11  -- Old Burma Teak,Furniture,,Wood,
JAC0914-08 -- Wooden Craved Box,Home Decor,Box,Wood,
H2H4057 -- W/c Chair with seat,Chair,Sitting Chair,Wood,
JAC1013-09 -- Munim Desk Big,Table,Study Table,Wood,
"H2H4066 -- W/c Sofa Set 
(3+1+1)",Sofa,Fabric,Wood,
RAC-14 -- Chest,Trunk,Chest,Wood,
JAC1013 15 -- Distressed coffee table,Table,Coffee Table,Wood,
SLCBD-20 -- Chuna finish cupboard,Cupboard,Regular,Wood,
JAC1013-16 -- Iron Wooden Chair,Chair,Sitting Chair,Metal and Wood,
SLDR -- Old Door,Door,,Wood,
H2H4074 -- W/c Table with Stools,Table,Dining Table,Wood,
MMRK-05 -- BT small rack,Shelf,Regular,Wood,
JAC0215-46 -- Wine Bar Folding,Furniture,,Wood,which cat?
JAC-01 -- Distress cabinet,Cupboard,Regular,Wood,
RAC0215-04 -- Wooden Pannel Figer,Panel,,Wood,
BBCRNR-01 -- Burma Teak Corner,Table,Side Table,Wood,Table or cupboard?
RCC0914-07 -- Handi Craft Study std.,Table,Study Table,Wood,
LCBD-08 --  Panal Cupboard,Cupboard,Regular,Wood,
JAC0215-11 -- Glass Cabinet,Cupboard,Cabinet,Glass and Wood,
H2H1015-15 -- I/W STOOL,Table,Stool,Wood,
H2H4071 -- W/c Box,Home Decor,Box,Wood,
JAC0215-52 -- Round tile Coffee Table set,Table,Coffee Table,Wood,
JMDMR-01 -- Old rose wood Mirror,Mirror,,Glass and Wood,
H2H4054 -- W/c Wine Trolly,Trolly,,Wood,
JAC0215-41 -- Side Board,Cupboard,Cabinet,Wood,
JAC0215-20 -- Consale Iron,Table,Console,Metal and Wood,
JAC0215-03 -- Wooden Block Fitted Box distressed,Home Decor,Box,Wood,
JMRK -- Old rose wood  Shelf,Shelf,Open Shelf,Wood,
JAC0215-39 -- Wine Tray,Home Decor,Objects,Wood,
SLCHRNG-01 -- Old Burma Teak Chaurang,Bajot,Chaurangi,Wood,
JAC0215-28 -- Carage Coffee table Black,Table,Coffee Table,Wood,
RTBL-15 -- burma teak Stool,Table,Stool,Wood,
JAC0914-12 -- Floding Writting wth Chair,Table,Study Table,Wood,
RAC0215-06 -- Wooden Planter,Chair,Planter,Wood,
JAC0215-01 -- Wooden Trunk Box,Home Decor,Box,Wood,
JAC0215-17 -- Glass Cabinet,Cupboard,Cabinet,Glass and Wood,
LSCSE-02 -- Burma teak Show Case,Cupboard,Showcase,Glass and Wood,
LSCBNT-01 -- Old Burma Teak,Cupboard,Cabinet,Wood,
JAC0215-33 -- Bench cum Dinning Table,Table,Dining Table,Wood,
JAC0215-27 -- Trally coffee Table,Table,Coffee Table,Wood,
SLCRNR-08 -- corner in burma and rose wood.,Table,Side Table,Wood,Tbl or Cprd?
LMDR-01 -- Old Burma Teak Mandir,Temple,,Wood,
YASC-02 -- Wooden  Sofa,Sofa,Fabric,Wood,
RCOD-01 -- Burma teak old chest,Trunk,Chest,Wood,
RCC0914-11 -- Handicrated Console OPM,Table,Console,Wood,
SLTNT-01 -- Garden Tent,Home Decor,Objects,Fabric,
SLRK-07 -- Cornar,Table,Side Table,Wood,Corner what???
JAC0215-06 -- Writing Table 4 Drawer & 1 Door,Table,Study Table,Wood,
SLALTR-01 -- Old Alter,Altar,,Wood,
RTSTD-01 -- Old Burma Teak Towel Std,Stand,Towel Stand,Wood,
JAC0215-09 -- Almira Glass,Cupboard,Regular,Glass and Wood,
H2H1015-25 -- W/C BOOK SHELF,Shelf,Book Shelf,Wood,
RCSTD-01 -- Corner Stand Shelf,Shelf,Open Shelf,Wood,
RALTR-02 -- Old Burma Teak Altar,Altar,,Wood,
SE1013-11 -- Old Burma Teak Show Case,Cupboard,Showcase,Glass and Wood,
H2H4065 -- W/c 1 Drawer Console Table,Table,Console,Wood,
SLCBD-11 -- OLd Burma Teak,Cupboard,Regular,Wood,
SLFSTL-01 -- Foot stool,Table,Stool,Wood,
RTBL-20 -- Old Burma Teak,Table,Coffee Table,Wood,
MMCHR-03 -- small  chair,Chair,Sitting Chair,Wood,
SLMAGSTD-02 -- Magzin Std Big,Stand,Magazine Stand,Wood,
LSSFA-02 -- Cane Sofa Set 2+1+1,Sofa,Cane,Wood,
SKACHST-01 -- Old Burma Teak Chest,Trunk,Chest,Wood,
SLPMKN-01 -- PAMKIN,Furniture,,Wood,what item is this??
SLCBD-16 -- Recyle Teak wood,Cupboard,Regular,Wood,
MMTBL-07 -- Set of 3 Burma Teak Table,Cupboard,Regular,Wood,
JAC0215-26 -- Coffee Table  wheel round 2 chair set,Table,Coffee Table,Wood,
H2H0915-29 -- W/c Tray,Home Decor,Objects,Wood,
SLPL-01 -- Polish work Charges,Furniture,,Wood,what item is this??
JAC0215-37 -- coffee table plain tepper Leg,Table,Coffee Table,Wood,
SLABDH-01 -- African Budha,Home Decor,Statue,Stone,Stone or wood?
H2H1015-12 -- W/C 3 DR. CONSOLE,Table,Console,Wood,
RPLR-01 -- Burma teak piler,Pillar,,Wood,
SERK-01 -- Ladder Shelf,Shelf,Open Shelf,Wood,
RTBL-10 -- burma teak chaurang,Bajot,Chaurangi,Wood,
RJLA-01 -- old burma teak,Furniture,,Wood,
SLALT-01 -- New Alter,Altar,,Wood,
MMRK-01 -- OLD BURMA TEAK CROCKERY  SHELF,Shelf,Open Shelf,Wood,
JAC0215-45 -- Nesting Table,Table,Nesting Table,Wood,
H2H0915-28 -- W/c Round Tanki,Furniture,,Wood,what item is this??
JAC0215-15 -- Writing Table,Table,Study Table,Wood,
LSCBRD-02 -- Old Burma Teak  Two Drawer Cabinet,Cupboard,Cabinet,Wood,
SLMCDR-01 -- Burma Teak Multi  Chest of Drawer,Trunk,Chest,Wood,
SLPMSTR-01 -- Paper Mashe Star Set,Home Decor,Objects,,Diwali Starset? Categorize properly
LCHKI-02 -- Old Burma Teak & Rose wood Chauki,Bajot,Pidda,Wood,
RCC0914-08 -- Handicraft Book Std.,Stand,Magazine Stand,Wood,
LAP0416-31 -- Wooden Mag Rack painted,Stand,Magazine Stand,Wood,
LAP0715-80 -- Mag. Std. Brass fitted,Stand,Magazine Stand,Wood,
LAP0317-55 -- Magzin holder Brass fitted,Stand,Magazine Stand,Wood,
LAP0812-30 -- Wooden Magzin Rack,Stand,Magazine Stand,Wood,
LAP0416-30 -- Wooden Mag Rack,Stand,Magazine Stand,Wood,
LAP0714-04 -- Wdn Mag Rack,Stand,Magazine Stand,Wood,
LAP0716-37 -- Mag. Rack Big Brass fitted,Stand,Magazine Stand,Wood,
LAP1013-06 -- magazine rack,Stand,Magazine Stand,Wood,
LAP0317-37 -- Wdn. Mag Std.,Stand,Magazine Stand,Wood,
LAP0317-02 -- WD OLD MIRROR FRAME,Mirror,,Glass and Wood,
SLMRR-03 -- Gold Mirror Frame,Mirror,,Glass and Wood,
SA-MR -- Old Mirror,Mirror,,Glass and Wood,
ZIMFRM-14 -- Craved Mirror White finish 48x36,Mirror,,Glass and Wood,
H2H4096 -- W/c Mirror,Mirror,,Glass and Wood,
"LAP0715-29 -- 24""x36"" Mirror Frame Full Brass",Mirror,,Glass and Wood,
ZIMFRM-13 -- Craved Mirror gold finish 52x36,Mirror,,Glass and Wood,
ZIMFRM-10 -- Carved Round  mirror silver finish 36x36,Mirror,,Glass and Wood,
"LAP0715-25 -- 20""x30"" Mirror Frame Full Brass",Mirror,,Glass and Wood,
"MH-JDH-04-2017-BRM-HW-7 of 9 -- Hanging Bathroom Mirror, Hardwood. 27""LX3""WX22""H",Mirror,,Glass and Wood,
ZIMFRM-08 -- Carved Round  mirror gold finish 36x36,Mirror,,Glass and Wood,
