,Item Code,Category,Type,Material
2089,SLMSK -- African mask,Home Decor,,Wood
2090,AQLMSK-01 -- Wooden Mask,Home Decor,,Wood
2091,SE0912-05 -- Tribal Mana Pot Large,Home Decor,,Wood
2092,LBURLI-02 -- Brass Urali,Home Decor,,Wood
2093,SAE0716-71 -- W/c Block Stamp,Home Decor,,Wood
2094,LBHK-07 -- Brass Hook,Home Decor,,Wood
2095,SAE0716-69 -- Wc Plate,Home Decor,,Wood
2096,SL-FL-BON-8 -- FLOWER BUNCH,Home Decor,,Wood
2097,LURLI010-20 -- Brass Urali,Home Decor,,Wood
2098,LBLT010-15 -- Brass Belt Double,Home Decor,,Wood
2099,GJ-03 -- MOP Tray Large,Home Decor,,Wood
2100,CHTRY-01 -- Painted Tray,Home Decor,,Wood
2101,LBHK-08 -- Brass Hook,Home Decor,,Wood
2102,KSPMFST-03 -- Paper Mashe Fish Set,Home Decor,,Wood
2103,SLCPV -- Copper Vessel,Home Decor,,Wood
2104,GJ-13 -- Candle Std.,Home Decor,,Wood
2105,H2H0915-42 -- W/C MIRROR FRAME,Home Decor,,Wood
2106,ADLMP0516 -15 -- Lotus hanging Candle std.,Home Decor,,Wood
2107,IR191LG -- Reed Difuser Oil Lemon Grass,Home Decor,,Wood
2108,HNG-1500 -- Painted Hanging,Home Decor,,Wood
2109,ADLMP-04 -- Tea light Peacock Shap  Candle holder Set of 2,Home Decor,,Wood
2110,SLMPNTNG-01 -- Glass Painting,Home Decor,,Wood
2111,SAE0215-35 -- Mirror,Home Decor,,Wood
2112,SAE0716-17 -- Brass Hook,Home Decor,,Wood
2113,DBNK-01 -- Silver Necklace,Home Decor,,Wood
2114,SLHK-05 -- BRASS HOOK,Home Decor,,Wood
2115,LBURLI-03 -- Brass  Urali,Home Decor,,Wood
2116,SAE0716-53 -- wooden Painted Pannel,Home Decor,,Wood
2117,SEOLCNTR-01 -- Wooden Oil Containor,Home Decor,,Wood
2118,DVTPNTNG-02 -- Tanjore Painting,Home Decor,,Wood
2119,LSPN010-52 -- Brass Kapoor Arati Spoon,Home Decor,,Wood
2120,JAO-06 -- Old Wooden Parat,Home Decor,,Wood
2121,SLPF-06 -- Burma Teak Painted Photo Frame,Home Decor,,Wood
2122,SLPF-05 -- Burma teak Photo Frame.,Home Decor,,Wood
2123,MDC-03 -- Dream catcher,Home Decor,,Wood
2124,SLCRW-01 -- Wooden Crow,Home Decor,,Wood
2125,LBWL010-49 -- Brass Singing Bowl,Home Decor,,Wood
2126,DVTPNTNG-09 -- Tanjore painting,Home Decor,,Wood
2127,SLMPNTNG-11 -- Madhu Bani Painting,Home Decor,,Wood
2128,SAE0716-18 -- Brass Hook,Home Decor,,Wood
2129,LBSPN-06 -- Old Brass Spoon,Home Decor,,Wood
2130,DTTLIGHT -- Tealights candle,Home Decor,,Wood
2131,SJ0413-77 -- Budha Trq. Bust,Home Decor,,Wood
2132,SAE0215-50 -- Iran Cap,Home Decor,,Wood
2133,LBBX-011 -- Old Brass Box,Home Decor,,Wood
2134,LSBDH-01 -- Stone Budha Head,Home Decor,,Wood
2135,SLHK-06 -- Rooster Cock Hook/Tripale Animal Ceramic hooks,Home Decor,,Wood
