Index,Date,Quantity,Cost,GDP,CPI
8071,2015-12,2,3420.0,1612.430000000004,0
8072,2016-06,2,3200.0,1267.4199999999985,3
8073,2016-01,3,5524.5,0.0,-2
8074,2015-03,3,5400.0,191.34000000000012,2
8075,2014-11,2,3200.0,0.0,0
8076,2015-01,4,6400.0,0.0,-1
8077,2016-03,3,4560.0,273.489999999998,3
8078,2015-03,1,1600.0,191.34000000000012,2
8079,2015-05,1,1620.0,0.0,3
8080,2014-01,1,1520.0,0.0,1
8081,2016-04,2,3420.0,0.0,4
8082,2010-03,1,1333.0,-471.39000000000124,0
8083,2015-02,2,3200.0,0.0,1
8084,2015-05,2,3200.0,0.0,3
8085,2015-02,2,3200.0,0.0,1
8086,2015-03,2,3200.0,191.34000000000012,2
8087,2016-07,4,7200.0,0.0,-2
8088,2015-11,3,5400.0,0.0,-1
8089,2016-03,4,6840.0,273.489999999998,3
8090,2017-03,1,1800.0,695.9799999999959,2
8091,2016-04,1,1600.0,0.0,4
8092,2015-05,1,1600.0,0.0,3
8093,2013-03,1,1520.0,704.75,2
8094,2015-03,1,1600.0,191.34000000000012,2
8095,2011-08,4,5333.0,0.0,3
8096,2016-05,2,3420.0,0.0,2
8097,2014-01,2,3040.0,0.0,1
8098,2017-10,4,8000.0,0.0,1
8099,2011-08,1,1500.0,0.0,3
8100,2011-03,2,3000.0,-161.67000000000192,1
8101,2011-01,1,1333.0,0.0,-3
8102,2011-09,2,2667.0,1078.41,1
8103,2017-08,2,4000.0,0.0,0
8104,2010-11,2,2850.0,0.0,3
8105,2012-04,1,1600.0,0.0,1
8106,2012-11,2,2666.68,0.0,1
8107,2011-06,1,1500.0,1908.630000000001,4
8108,2011-02,2,3000.0,0.0,0
8109,2012-04,2,2844.44,0.0,1
8110,2014-03,2,2844.44,627.0799999999981,3
8111,2017-10,1,2000.0,0.0,1
8112,2017-10,3,15200.0,0.0,1
8113,2011-05,2,2532.7,0.0,2
8114,2012-08,1,1600.0,0.0,1
8115,2014-04,1,1600.0,0.0,2
8116,2012-10,1,1520.0,0.0,1
8117,2017-11,2,4000.0,0.0,-2
8118,2014-05,4,6400.0,0.0,2
8119,2012-05,2,2844.44,0.0,2
8120,2017-08,2,4000.0,0.0,0
8121,2012-07,1,1600.0,0.0,2
8122,2017-08,2,4000.0,0.0,0
8123,2017-08,1,2000.0,0.0,0
8124,2012-11,2,2844.44,0.0,1
8125,2014-02,1,1600.0,0.0,1
8126,2011-04,2,3000.0,0.0,1
8127,2014-03,2,3040.0,627.0799999999981,3
