Item Code,Category,Type,Material,Description,,,,,,,,,,,,,,,,,,,,,,,,,
MSCSE-05 -- Old Burma Teak Book Shelf,Shelf,Book Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCSE-06 -- Old Burma Teak  Show case,Cupboard,Showcase,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSRDSK-01 -- Writing Desk Old Burma Teak,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSRK-01 -- Burma Teak Shelf,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSTBL-01 -- Old Burma Teak  Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-TY-13 -- Mushroom,Home Decor,Objects,Fiber,,,,,,,,,,,,,,,,,,,,,,,,,,
MSZLA-01 -- Old Burma teak Zula,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
NV-12 -- PURIFING NEEM FACE MASK,Cosmetic,Face Mask,Fabric,Should cosmetic be a category or a sub-category? Same confusion as Home Decor. Also what should material be?,,,,,,,,,,,,,,,,,,,,,,,,,
NV-13 -- MOROCCAN RED CLAY,,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCM 02 -- Tile Table,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCM TBL-01 -- Painted Wooden table,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCM04 -- Centre Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCM-08 -- Side Table,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCM25 -- Painted Stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCZ/BNCH-01 -- OLd Wooden Bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCZ/CHKI-01 -- Old wooden Chauki,Home Decor,Objects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCZ-11/DTC -- Wd. Iron Leg Dinning Table wth 4 Chair,Table,Dining Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCZBAR -- Wine Rack,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCZ-CHRKHA -- Old Wooden Charkha,Home Decor,Obects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCZSCE-01 -- Painted wooden Show case,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PCZSTBL-01 -- wooden painted Side Table,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
PH1013-07 -- Rack,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RA-01 -- Old Bajot,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RA-02 -- Centre table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-01 -- Old Ceramic Tiles,Home Decor,Tile,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-02 -- wooden Consale Table,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-03 -- Wooden Chair Folding,Chair,Folding Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-05 -- Wooden Self,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-07 -- Wooden Ciling Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-08 -- Wooden Door Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-09 -- Wooden table Brass,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-11 -- Wooden  Frame,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-12 -- Iron Machine Table,Table,Coffee Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-13 -- Iron chair Folding,Chair,Folding Chair,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-14 -- wooden Window Small,Window,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-15 -- Wooden Pannel craved,Window,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0215-17 -- old Wooden Jali Door,Door,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC-05 -- Mirror Iron Std.,Mirror,,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC-06 -- Iron Sewing  Machine Table,Table,Sewing Machine Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC-07 -- Wooden Centre Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC-09 -- Wooden Bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0914-01 -- Wooden Arch frame,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0914-03 -- wooden window table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0914-04 -- wooden window table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0914-05 -- wooden window table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0914-08 -- Wooden Door Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0914-10 -- Wooden Door Frame,Door,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0914-11 -- Wooden Window Painted,Window,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0914-12 -- Iron Machine Std.,Table,Coffee Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC0914-13 -- Iron Ice cob,,,,What is this?,,,,,,,,,,,,,,,,,,,,,,,,,
RAC-19 -- Old Door,Door,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC-21 -- Old woodn Arch,Arch,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RBD-02 -- Burma  Teak Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RBD-03 -- old burma teak bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RBD-04 -- Old Rose wood Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RBNCH-01 -- burma teak bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RBNCH-02 -- Burma teak Box Bench,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RC0611-05 -- Wooden Craved Sideboard Budha Painting,,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBD-01 -- Burma Teak  wood cupboard Art Deco,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBD-02 -- old burma teak cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBD-03 -- cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBD-05 -- old burma teak cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBD-09 -- Old Burma Teak Pannal Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBD-11 -- Old Burma Teak Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBD-12 -- Old Burma Teak Cupboard Singale Door,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBT-02 -- burma teak file cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBT-03 -- burma teak(blue) cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBT-06 -- Old Burma Teak Cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBT-07 -- Old Burma teak Cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCC0914-01 -- Handicraft wdn. Craved Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCC0914-02 -- Handicraft wdn. Craved Chest Old,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCC0914-03 -- Ox Cart Table old,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCC0914-04 -- Wdn Craved Elephant Seater,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCC0914-05 -- Handcrafted Durrie Ottoman,Home Decor,Mat,Fabric,New sub-category for mat?,,,,,,,,,,,,,,,,,,,,,,,,,
RCC0914-06 -- Hand Crafted Durrie Pouffe 80*80,Home Decor,Mat,Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,
RCC0914-09 -- Handicraft Hanger Trolley,Trolly,,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHKI-01 -- Old Burma teak Chauki,Home Decor,Obects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHR-01 -- Old Burma Teak,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHR-03 -- Burma Teak  Wood Father Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHR-05 -- Burma Teak Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHT-01 -- Small rosewood chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHT-02 -- Rose wood Old chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHT-04 -- Burma teak old chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHT-06 -- Burma teak old chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHT-10 -- Old Burma teakWood Chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHT-12 -- Old Burma Teak Chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHT-13 -- Old Burma Teak,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCOD-02 -- Chest of Drawers,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCTBL-01 -- Burma Teak 2 Drawer Center Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RCTBL-02 -- Burma Teak Plan Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-105 -- WOODEN 2 DRAWER TABLE,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-107 -- WOODEN DINNING TABLE,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-108 -- GLASS DOOR CUPBOARD,Cupboard,Regular,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-32 -- WOODEN MARBLE TILE TABLE,Table,Side Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-35 -- WOODEN  4TILES TABLE,Table,Side Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-36 -- WOODEN SMALL CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-37 -- WOODEN OFFICE TABLE,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-38 -- WOODEN AD TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-40 -- WOODEN ALMIRAH  2 SHELF,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-41 --  ROSE WOOD MARBLE TABLE (8 ANG.),Table,Dining Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-42 -- WOODEN MARBLE ROUND TABLE,Table,Coffee Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-44 -- WOODEN ALMIRAH GREEN,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-45 -- WOODEN SHOWCASE WITH DRAWER,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-46 -- WOODEN CHAIR WITH CANE,Chair,Cane Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-47 -- WOODEN SQURE TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-48 -- WOODEN DRESSING TABLE,Table,Dressing Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-49 -- WOODEN ALMIRAH,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-51 -- WOODEN ALMIRAH,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-52 -- WOODEN DAY BED,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-53 -- WOODEN HAT STAND,Stand,Hat Rack,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-54 -- WOODEN FOLDING TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-55 -- DINNING TABLE WITH MARBLE TOP,Table,Dining Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-56 -- WOODEN FOLDING TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-57 -- WOODEN FOLDING TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-61 -- WOODEN COFFEE TABLE SMALL,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-62 -- WOODEN SINGLE TILE TABLE,Table,Side Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-63 -- WOODEN COFFEE TABLE SMALL,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-64 -- WOODEN COFFEE TABLE BIG,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-65 -- WOODEN COFFEE TABLE MEDIUM,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-68 -- WOODEN HAT STAND,Stand,Hat Rack,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-69 -- WOODEN SOFA NEW,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-71 -- WOODEN OVAL GLASS AMIRAH,Cupboard,Regular,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-72 -- WOODEN DAY BED,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-73 -- WOODEN ROUND TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-74 -- WOODEN KITCHEN RACK,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-75 -- WOODEN MUNIM DESK,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-76 -- WOODEN ALMIRAH,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-77 -- WOODEN ICECREAM KOTHI,Home Decor,Objects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-78 -- WOODEN ZULA/SWING,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-79 -- WOODEN ZULA/SWING,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-80 -- WOODEN DRESSING CUM HAT STAND WITH TILE,Table,Dressing Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"RD/GJ/18-81 -- DOG BENCH SET (IRON CASTING)
2+1",Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-83 -- OLD FRAME WITH MIRROR,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-88 -- OLD MIRROR FRAME,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-91 -- CASTING IRON MAHARANI BENCH,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-92 -- CASTING IRON LION TABLE,Table,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-93 -- CASTING IRON CHAIR,Chair,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-94 -- IRON CASTING CHAIR,Chair,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-95 -- CASTING IRON JALI BENCH,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-96 -- CASTING IRON NEW DESIGN BENCH,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-97 -- CASTING IRON LION/DRAGON BENCH,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ/18-98 -- WOODEN SWING (ZULA),Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-02 -- WDN. TABLE,Table,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-03 -- WDN. DRESSING,Table,Dressing Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-04 -- WDN. COFFEE TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-05 -- WDN. COFFEE TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-06 -- WDN. SHOWCASE,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-07 -- WDN. SOFA,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-08 -- WDN. BED,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-10 -- WDN. BAJOT,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-11 -- WDN. MIRROR,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-12 -- WDN. ZULA,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-13 -- WDN. ZULA,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-15 -- WDN.ART DECO SOFA,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-16 -- WDN. ROUND CHAIR,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-17 -- WDN. ROUND CHAIR,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-18 -- WDN. MIRROR,Mirror,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-18-100 -- TEAKWOOD MADE KITCHEN SHELF,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-18-101 -- ROSE/TEAK WOOD MADE WALL CORNER,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-18-33 -- WOODEN STOOL,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-18-34 -- WOODEN SMALL TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-18-50 -- WOODEN THAKAJ TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-18-75 -- WOODEN MUNIM DESK,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-19 -- WDN.BED,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-20 -- WDN. MAJUSE,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-21 -- WDN. SIDEBOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-22 -- WDN. SIDEBOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RD/GJ-29 -- w/i bench 3 seater,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RDTBL-01 -- Burma Teak Dressing Table,Table,Dressing Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RHRK-02 -- Burma teak Hat Rack,Stand,Hat Rack,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RJLA-02 -- Burma Teak Bhavnagri Jhula,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RMIR-01 -- burma teak mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-08 -- RUG 6 by 3,,,Fabric,What category for rug?,,,,,,,,,,,,,,,,,,,,,,,,,
RRK-01 -- Old Burma Teak Rack,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RRK-02 --  Burma Teak Rack,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RSBRD-02 -- Old Burm Teak Side  Board,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSCE-03 -- Old Burma Teak Book Case,Shelf,Book Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RSCE-04 -- Old Burma Teak Show case,Cupboard,Showcase,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RSCE-05 -- Old burma teak Small Show Case,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RSFA-01 -- burma teak jali work sofa,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RSFA-02 -- burma teak sofa,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RSFA-03 -- Old Burma Teak 2+1+1 cane Sofa Set,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RSHCS -- BT Showcase,Cupboard,Showcase,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-01 -- Old Burma Teak Writing desk,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-02 -- Old Burma Teak side table,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-03 -- Old round side table,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-04 -- BT stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-05 -- burma teak  table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-07 -- Munim Desk,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-08 -- 2 drawer BT Desk,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-09 -- Burma teak table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-13 -- kundi std burma teak Stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-14 -- hexoganole marble top table,Table,Dining Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-16 -- small inlay round table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-17 -- old burma teak stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-18 -- Burma Teak Writing Desk,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-19 -- Inlay Mohgany wood Marable Top table hexoganole,Table,Dining Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-21 -- Old Burma Teak Desk,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-22 --  Burma teak table Center table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTBL-23 -- Old Rose wood Desk wth Craved Panel,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTRY-01 -- burma teak tray,Home Decor,Objects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
RTTRY-01 -- Painted Tray,Home Decor,Objects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLBD -- Old Burma Teak Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLBD-01 -- Old Burma Teak Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLBD-04 --  Burma Teak Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLBSHL -- TEAKWOOD BOOK SHELF,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLBTBL-01 -- TABLE WITH TILE,Table,Side Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLBTBL-04 -- Bed Side Table,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLCBD-05 -- Old rose wood cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLCBD-06 -- old Rosewood Suraj Mukhi cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLCBRD-01 -- Old Burma Teak Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLCHR -- LEATHER CHAIR BIG SIZE,Chair,Sofa Chair with Leather,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQL-CHR -- TEAK  CHAIR WITH CANE,Chair,Cane,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQL-CHR-01 -- Burma Teak  Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLCOD-01 -- Burma Teak Chest of Drawer,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLDTBL-01 -- Glass Top Burma teak  Dinning Table+ 6 Cushion Chair,Table,Dining Table,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLDTBL-02 -- Burma Teak Dinning Table + 6 Chair set,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-AQLMIR-01 --  Burma Teak  Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
