Item Code,Category,Type,Material,Description,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-111 -- W/c Old Teak Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-113 -- Almirah 2 Door 3 Shelf for Rack,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-114 -- W/c 1 Door Almirah,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-116 -- W/c Console Table,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-120 -- Old Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-122 -- W/c Old Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-124 -- W/c Old Book Shelf,Shelf,Book Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-15 -- W/c Coffee Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-16 -- W/c Magazine Rack,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-175 -- W/C SEWING MACHINE TABLE,Table,Sewing Machine Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-18 -- W/c 3 Drawer 3 Door Side Board,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215--20 -- W/C DINING TABLE,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-20 B -- W/c Shelf,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-21 -- W/c Console with glass top,Table,Console,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-23 -- W/c Stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-25 B -- W/c CD Rack Big,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-26 -- W/c Coffee Table with Glass Top,Table,Coffee Table,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-27 -- W/c Table with Stone top,Table,Dining Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-28 -- W/c Iron Wood Coffee Table,Table,Coffee Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-38 -- Brass Frame,Frame,,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-47 -- W/c Old Wall Dressing,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-48 -- W/c Old Mirrors,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-51 -- W/c Old mIrror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-57 -- Iron Chair (4 Red and 4 Yellow),Chair,Sitting Chair,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-58 -- Round Breakfast Table Matching the Chairs,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-74 -- W/c Teak Bed Side (Assorted),Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
